Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-zpox,branch-v5t4,Randomise questionnaire elements?,Question Key,Response
17,1.70912E+12,28/02/2024 12:55,1.70912E+12,2,28/02/2024 14:55,143127,17,questionnaire-jj6n,,35586363,BLIND,10514858,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Arab_First,accepted,No,language -quantised,1
18,1.70912E+12,28/02/2024 12:55,1.70912E+12,2,28/02/2024 14:55,143127,17,questionnaire-jj6n,,35586363,BLIND,10514858,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Arab_First,accepted,No,vision,ראייה מתוקנת (משקפיים/עדשות)
19,1.70912E+12,28/02/2024 12:55,1.70912E+12,2,28/02/2024 14:55,143127,17,questionnaire-jj6n,,35586363,BLIND,10514858,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Arab_First,accepted,No,vision-quantised,2
20,1.70912E+12,28/02/2024 12:55,1.70912E+12,2,28/02/2024 14:55,143127,17,questionnaire-jj6n,,35586363,BLIND,10514858,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Arab_First,accepted,No,children,1
21,1.70912E+12,28/02/2024 12:55,1.70912E+12,2,28/02/2024 14:55,143127,17,questionnaire-jj6n,,35586363,BLIND,10514858,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Arab_First,accepted,No,scale_of_SES,6
22,1.70912E+12,28/02/2024 12:55,1.70912E+12,2,28/02/2024 14:55,143127,17,questionnaire-jj6n,,35586363,BLIND,10514858,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Arab_First,accepted,No,scale_of_SES-quantised,5
23,1.70912E+12,28/02/2024 12:55,1.70912E+12,2,28/02/2024 14:55,143127,17,questionnaire-jj6n,,35586363,BLIND,10514858,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Arab_First,accepted,No,response-7,
24,1.70912E+12,28/02/2024 12:55,1.70912E+12,2,28/02/2024 14:55,143127,17,questionnaire-jj6n,,35586363,BLIND,10514858,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Arab_First,accepted,No,END QUESTIONNAIRE,3840
1,1.70913E+12,28/02/2024 13:19,1.70913E+12,2,28/02/2024 15:19,143127,17,questionnaire-jj6n,,35587318,BLIND,10515072,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x607,,,,Demographics_ex1,7,Arab_First,accepted,No,BEGIN QUESTIONNAIRE,
2,1.70913E+12,28/02/2024 13:21,1.70913E+12,2,28/02/2024 15:21,143127,17,questionnaire-jj6n,,35587318,BLIND,10515072,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x607,,,,Demographics_ex1,7,Arab_First,accepted,No,age,72
3,1.70913E+12,28/02/2024 13:21,1.70913E+12,2,28/02/2024 15:21,143127,17,questionnaire-jj6n,,35587318,BLIND,10515072,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x607,,,,Demographics_ex1,7,Arab_First,accepted,No,age-quantised,56
4,1.70913E+12,28/02/2024 13:21,1.70913E+12,2,28/02/2024 15:21,143127,17,questionnaire-jj6n,,35587318,BLIND,10515072,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x607,,,,Demographics_ex1,7,Arab_First,accepted,No,gender,גבר
5,1.70913E+12,28/02/2024 13:21,1.70913E+12,2,28/02/2024 15:21,143127,17,questionnaire-jj6n,,35587318,BLIND,10515072,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x607,,,,Demographics_ex1,7,Arab_First,accepted,No,gender-quantised,1
6,1.70913E+12,28/02/2024 13:21,1.70913E+12,2,28/02/2024 15:21,143127,17,questionnaire-jj6n,,35587318,BLIND,10515072,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x607,,,,Demographics_ex1,7,Arab_First,accepted,No,gender-text,
7,1.70913E+12,28/02/2024 13:21,1.70913E+12,2,28/02/2024 15:21,143127,17,questionnaire-jj6n,,35587318,BLIND,10515072,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x607,,,,Demographics_ex1,7,Arab_First,accepted,No,ethnic-1,ישראלי/ת
8,1.70913E+12,28/02/2024 13:21,1.70913E+12,2,28/02/2024 15:21,143127,17,questionnaire-jj6n,,35587318,BLIND,10515072,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x607,,,,Demographics_ex1,7,Arab_First,accepted,No,ethnic-4,יהודי/ת
9,1.70913E+12,28/02/2024 13:21,1.70913E+12,2,28/02/2024 15:21,143127,17,questionnaire-jj6n,,35587318,BLIND,10515072,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x607,,,,Demographics_ex1,7,Arab_First,accepted,No,ethnic-text,
10,1.70913E+12,28/02/2024 13:21,1.70913E+12,2,28/02/2024 15:21,143127,17,questionnaire-jj6n,,35587318,BLIND,10515072,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x607,,,,Demographics_ex1,7,Arab_First,accepted,No,religiosity,3
11,1.70913E+12,28/02/2024 13:21,1.70913E+12,2,28/02/2024 15:21,143127,17,questionnaire-jj6n,,35587318,BLIND,10515072,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x607,,,,Demographics_ex1,7,Arab_First,accepted,No,religiosity-quantised,3
12,1.70913E+12,28/02/2024 13:21,1.70913E+12,2,28/02/2024 15:21,143127,17,questionnaire-jj6n,,35587318,BLIND,10515072,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x607,,,,Demographics_ex1,7,Arab_First,accepted,No,education,השלמתי תואר ראשון באוניברסיטה
13,1.70913E+12,28/02/2024 13:21,1.70913E+12,2,28/02/2024 15:21,143127,17,questionnaire-jj6n,,35587318,BLIND,10515072,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x607,,,,Demographics_ex1,7,Arab_First,accepted,No,education-quantised,6
14,1.70913E+12,28/02/2024 13:21,1.70913E+12,2,28/02/2024 15:21,143127,17,questionnaire-jj6n,,35587318,BLIND,10515072,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x607,,,,Demographics_ex1,7,Arab_First,accepted,No,language ,כן
15,1.70913E+12,28/02/2024 13:21,1.70913E+12,2,28/02/2024 15:21,143127,17,questionnaire-jj6n,,35587318,BLIND,10515072,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x607,,,,Demographics_ex1,7,Arab_First,accepted,No,language -quantised,1
16,1.70913E+12,28/02/2024 13:21,1.70913E+12,2,28/02/2024 15:21,143127,17,questionnaire-jj6n,,35587318,BLIND,10515072,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x607,,,,Demographics_ex1,7,Arab_First,accepted,No,vision,ראייה מתוקנת (משקפיים/עדשות)
17,1.70913E+12,28/02/2024 13:21,1.70913E+12,2,28/02/2024 15:21,143127,17,questionnaire-jj6n,,35587318,BLIND,10515072,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x607,,,,Demographics_ex1,7,Arab_First,accepted,No,vision-quantised,2
18,1.70913E+12,28/02/2024 13:21,1.70913E+12,2,28/02/2024 15:21,143127,17,questionnaire-jj6n,,35587318,BLIND,10515072,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x607,,,,Demographics_ex1,7,Arab_First,accepted,No,children,2
19,1.70913E+12,28/02/2024 13:21,1.70913E+12,2,28/02/2024 15:21,143127,17,questionnaire-jj6n,,35587318,BLIND,10515072,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x607,,,,Demographics_ex1,7,Arab_First,accepted,No,scale_of_SES,8
20,1.70913E+12,28/02/2024 13:21,1.70913E+12,2,28/02/2024 15:21,143127,17,questionnaire-jj6n,,35587318,BLIND,10515072,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x607,,,,Demographics_ex1,7,Arab_First,accepted,No,scale_of_SES-quantised,3
21,1.70913E+12,28/02/2024 13:21,1.70913E+12,2,28/02/2024 15:21,143127,17,questionnaire-jj6n,,35587318,BLIND,10515072,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x607,,,,Demographics_ex1,7,Arab_First,accepted,No,response-7,
22,1.70913E+12,28/02/2024 13:21,1.70913E+12,2,28/02/2024 15:21,143127,17,questionnaire-jj6n,,35587318,BLIND,10515072,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 122.0.0.0,1366x768,1366x607,,,,Demographics_ex1,7,Arab_First,accepted,No,END QUESTIONNAIRE,131213
1,1.70913E+12,28/02/2024 13:26,1.70913E+12,2,28/02/2024 15:26,143127,17,questionnaire-jj6n,,35587539,BLIND,10515173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Jewish_First,accepted,No,BEGIN QUESTIONNAIRE,
2,1.70913E+12,28/02/2024 13:27,1.70913E+12,2,28/02/2024 15:27,143127,17,questionnaire-jj6n,,35587539,BLIND,10515173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Jewish_First,accepted,No,age,22
3,1.70913E+12,28/02/2024 13:27,1.70913E+12,2,28/02/2024 15:27,143127,17,questionnaire-jj6n,,35587539,BLIND,10515173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Jewish_First,accepted,No,age-quantised,6
4,1.70913E+12,28/02/2024 13:27,1.70913E+12,2,28/02/2024 15:27,143127,17,questionnaire-jj6n,,35587539,BLIND,10515173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Jewish_First,accepted,No,gender,גבר
5,1.70913E+12,28/02/2024 13:27,1.70913E+12,2,28/02/2024 15:27,143127,17,questionnaire-jj6n,,35587539,BLIND,10515173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Jewish_First,accepted,No,gender-quantised,1
6,1.70913E+12,28/02/2024 13:27,1.70913E+12,2,28/02/2024 15:27,143127,17,questionnaire-jj6n,,35587539,BLIND,10515173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Jewish_First,accepted,No,gender-text,
7,1.70913E+12,28/02/2024 13:27,1.70913E+12,2,28/02/2024 15:27,143127,17,questionnaire-jj6n,,35587539,BLIND,10515173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Jewish_First,accepted,No,ethnic-8,חרד/ית
8,1.70913E+12,28/02/2024 13:27,1.70913E+12,2,28/02/2024 15:27,143127,17,questionnaire-jj6n,,35587539,BLIND,10515173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Jewish_First,accepted,No,ethnic-text,
9,1.70913E+12,28/02/2024 13:27,1.70913E+12,2,28/02/2024 15:27,143127,17,questionnaire-jj6n,,35587539,BLIND,10515173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Jewish_First,accepted,No,religiosity,8
10,1.70913E+12,28/02/2024 13:27,1.70913E+12,2,28/02/2024 15:27,143127,17,questionnaire-jj6n,,35587539,BLIND,10515173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Jewish_First,accepted,No,religiosity-quantised,8
11,1.70913E+12,28/02/2024 13:27,1.70913E+12,2,28/02/2024 15:27,143127,17,questionnaire-jj6n,,35587539,BLIND,10515173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Jewish_First,accepted,No,education,השלמתי בית ספר יסודי
12,1.70913E+12,28/02/2024 13:27,1.70913E+12,2,28/02/2024 15:27,143127,17,questionnaire-jj6n,,35587539,BLIND,10515173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Jewish_First,accepted,No,education-quantised,2
13,1.70913E+12,28/02/2024 13:27,1.70913E+12,2,28/02/2024 15:27,143127,17,questionnaire-jj6n,,35587539,BLIND,10515173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Jewish_First,accepted,No,language ,כן
14,1.70913E+12,28/02/2024 13:27,1.70913E+12,2,28/02/2024 15:27,143127,17,questionnaire-jj6n,,35587539,BLIND,10515173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Jewish_First,accepted,No,language -quantised,1
15,1.70913E+12,28/02/2024 13:27,1.70913E+12,2,28/02/2024 15:27,143127,17,questionnaire-jj6n,,35587539,BLIND,10515173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Jewish_First,accepted,No,vision,ראייה מתוקנת (משקפיים/עדשות)
16,1.70913E+12,28/02/2024 13:27,1.70913E+12,2,28/02/2024 15:27,143127,17,questionnaire-jj6n,,35587539,BLIND,10515173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Jewish_First,accepted,No,vision-quantised,2
17,1.70913E+12,28/02/2024 13:27,1.70913E+12,2,28/02/2024 15:27,143127,17,questionnaire-jj6n,,35587539,BLIND,10515173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Jewish_First,accepted,No,children,1
18,1.70913E+12,28/02/2024 13:27,1.70913E+12,2,28/02/2024 15:27,143127,17,questionnaire-jj6n,,35587539,BLIND,10515173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Jewish_First,accepted,No,scale_of_SES,5
19,1.70913E+12,28/02/2024 13:27,1.70913E+12,2,28/02/2024 15:27,143127,17,questionnaire-jj6n,,35587539,BLIND,10515173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Jewish_First,accepted,No,scale_of_SES-quantised,6
20,1.70913E+12,28/02/2024 13:27,1.70913E+12,2,28/02/2024 15:27,143127,17,questionnaire-jj6n,,35587539,BLIND,10515173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Jewish_First,accepted,No,response-7,
21,1.70913E+12,28/02/2024 13:27,1.70913E+12,2,28/02/2024 15:27,143127,17,questionnaire-jj6n,,35587539,BLIND,10515173,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,,Demographics_ex1,7,Jewish_First,accepted,No,END QUESTIONNAIRE,52902
1,1.70913E+12,28/02/2024 13:49,1.70913E+12,2,28/02/2024 15:49,143127,17,questionnaire-jj6n,,35588284,BLIND,10515193,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 114.0.0.0,873x393,980x378,,,,Demographics_ex1,7,Arab_First,accepted,No,BEGIN QUESTIONNAIRE,
