Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-zpox,branch-v5t4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1704890578860,10/01/2024 12:42:58,1704890581366,2,10/01/2024 14:43:01,143127,8,task-sfst,,34101829,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,1,Arab_First,accepted,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1704890581834,10/01/2024 12:43:01,1704890584365,2,10/01/2024 14:43:04,143127,8,task-sfst,,34101829,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,1,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 3,advancementZone,continue_button,2864.6999999955297,,,,,0,1,0,,,,,,instructions_Jewish
3,1704890582618,10/01/2024 12:43:02,1704890585156,2,10/01/2024 14:43:05,143127,8,task-sfst,,34101829,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,1,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone3,response_slider_firstInteraction,800.1000000000004,,,33,,0,1,0,,,,,,instructions_Jewish
4,1704890583919,10/01/2024 12:43:03,1704890586472,2,10/01/2024 14:43:06,143127,8,task-sfst,,34101829,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,1,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone3,response_slider_endValue,2100.89999999851,,,0,,0,1,0,,,,,,instructions_Jewish
5,1704890584027,10/01/2024 12:43:04,1704890586473,2,10/01/2024 14:43:06,143127,8,task-sfst,,34101829,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,1,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone4,continue_button,2100.89999999851,,,,,0,1,0,,,,,,instructions_Jewish
6,1704890584027,10/01/2024 12:43:04,1704890586488,2,10/01/2024 14:43:06,143127,8,task-sfst,,34101829,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,1,Arab_First,accepted,Spreadsheet1,,,END TASK,,,,,5122,,,,,0,1,0,,,,,,
END OF FILE
