Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-zpox,branch-v5t4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1704814709685,09/01/2024 15:38:29,1704814709955,2,09/01/2024 17:38:29,143127,8,task-sfst,,34073900,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,1,Jewish_First,accepted,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1704814714267,09/01/2024 15:38:34,1704814714570,2,09/01/2024 17:38:34,143127,8,task-sfst,,34073900,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,1,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 3,advancementZone,continue_button,4493.5,,,,,0,1,0,,,,,,instructions_Jewish
3,1704814715117,09/01/2024 15:38:35,1704814715411,2,09/01/2024 17:38:35,143127,8,task-sfst,,34073900,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,1,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone3,response_slider_firstInteraction,833.3000000000002,,,9,,0,1,0,,,,,,instructions_Jewish
4,1704814716529,09/01/2024 15:38:36,1704814716807,2,09/01/2024 17:38:36,143127,8,task-sfst,,34073900,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,1,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone3,response_slider_endValue,2231.199999988079,,,0,,0,1,0,,,,,,instructions_Jewish
5,1704814716639,09/01/2024 15:38:36,1704814716808,2,09/01/2024 17:38:36,143127,8,task-sfst,,34073900,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,1,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone4,continue_button,2231.199999988079,,,,,0,1,0,,,,,,instructions_Jewish
6,1704814716639,09/01/2024 15:38:36,1704814716817,2,09/01/2024 17:38:36,143127,8,task-sfst,,34073900,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,1,Jewish_First,accepted,Spreadsheet1,,,END TASK,,,,,6862,,,,,0,1,0,,,,,,
END OF FILE
