Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-zpox,branch-v5t4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,image
490,1704890547456,10/01/2024 12:42:27,1704890550009,2,10/01/2024 14:42:30,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,149,72,1,Screen 1,Zone3,response_slider_endValue,1933.2000000029802,,,42,,0,1,0,,,,,2,task_Jewish,IFD_M-086-N.png
491,1704890547569,10/01/2024 12:42:27,1704890550010,2,10/01/2024 14:42:30,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,149,72,1,Screen 1,Zone4,continue_button,1933.2000000029802,,,,,0,1,0,,,,,2,task_Jewish,IFD_M-086-N.png
492,1704890548932,10/01/2024 12:42:28,1704890551479,2,10/01/2024 14:42:31,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,115,73,1,Screen 1,Zone3,response_slider_firstInteraction,1466.5999999999767,,,45,,0,1,0,,,,,2,task_Jewish,CFD_M-238-N.png
493,1704890550236,10/01/2024 12:42:30,1704890552792,2,10/01/2024 14:42:32,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,115,73,1,Screen 1,Zone3,response_slider_endValue,2773.7999999970198,,,35,,0,1,0,,,,,2,task_Jewish,CFD_M-238-N.png
494,1704890550352,10/01/2024 12:42:30,1704890552793,2,10/01/2024 14:42:32,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,115,73,1,Screen 1,Zone4,continue_button,2773.7999999970198,,,,,0,1,0,,,,,2,task_Jewish,CFD_M-238-N.png
495,1704890551287,10/01/2024 12:42:31,1704890553828,2,10/01/2024 14:42:33,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,89,74,1,Screen 1,Zone3,response_slider_firstInteraction,1033.2000000000116,,,49,,0,1,0,,,,,2,task_Jewish,CFD_M-201-N.png
496,1704890552677,10/01/2024 12:42:32,1704890555234,2,10/01/2024 14:42:35,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,89,74,1,Screen 1,Zone3,response_slider_endValue,2432.60000000149,,,58,,0,1,0,,,,,2,task_Jewish,CFD_M-201-N.png
497,1704890552796,10/01/2024 12:42:32,1704890555235,2,10/01/2024 14:42:35,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,89,74,1,Screen 1,Zone4,continue_button,2432.60000000149,,,,,0,1,0,,,,,2,task_Jewish,CFD_M-201-N.png
498,1704890553571,10/01/2024 12:42:33,1704890556123,2,10/01/2024 14:42:36,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,103,75,1,Screen 1,Zone3,response_slider_firstInteraction,899.9000000000233,,,47,,0,1,0,,,,,2,task_Jewish,CFD_M-223-N.png
499,1704890554948,10/01/2024 12:42:34,1704890557499,2,10/01/2024 14:42:37,143127,8,task-4qo7,,34101451,,10078394,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_ArabFirst_pilot2,7,Arab_First,accepted,Spreadsheet1,Spreadsheet1,103,75,1,Screen 1,Zone3,response_slider_endValue,2257.3000000044703,,,40,,0,1,0,,,,,2,task_Jewish,CFD_M-223-N.png
