Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-zpox,branch-v5t4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1.7048E+12,09/01/2024 12:19,1.7048E+12,2,09/01/2024 14:19,143127,8,task-sfst,,34039779,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,1,Jewish_First,accepted,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1.7048E+12,09/01/2024 12:19,1.7048E+12,2,09/01/2024 14:19,143127,8,task-sfst,,34039779,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,1,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 3,advancementZone,continue_button,9323,,,,,0,1,0,,,,,,instructions_Jewish
3,1.7048E+12,09/01/2024 12:19,1.7048E+12,2,09/01/2024 14:19,143127,8,task-sfst,,34039779,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,1,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone3,response_slider_firstInteraction,2016,,,3,,0,1,0,,,,,,instructions_Jewish
4,1.7048E+12,09/01/2024 12:19,1.7048E+12,2,09/01/2024 14:19,143127,8,task-sfst,,34039779,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,1,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone3,response_slider_endValue,4203,,,3,,0,1,0,,,,,,instructions_Jewish
5,1.7048E+12,09/01/2024 12:19,1.7048E+12,2,09/01/2024 14:19,143127,8,task-sfst,,34039779,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,1,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone4,continue_button,4203,,,,,0,1,0,,,,,,instructions_Jewish
6,1.7048E+12,09/01/2024 12:19,1.7048E+12,2,09/01/2024 14:19,143127,8,task-sfst,,34039779,,10070164,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1269x823,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,1,Jewish_First,accepted,Spreadsheet1,,,END TASK,,,,,13829,,,,,0,1,0,,,,,,
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
