Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-zpox,branch-v5t4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,image
300,1704814498471,09/01/2024 15:34:58,1704814498765,2,09/01/2024 17:34:58,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,102,9,1,Screen 1,Zone3,response_slider_firstInteraction,983.2999999999884,,,50,,0,1,0,,,,,2,task_Arab,CFD_M-222-N.png
301,1704814499372,09/01/2024 15:34:59,1704814499678,2,09/01/2024 17:34:59,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,102,9,1,Screen 1,Zone3,response_slider_endValue,1886,,,37,,0,1,0,,,,,2,task_Arab,CFD_M-222-N.png
302,1704814499485,09/01/2024 15:34:59,1704814499679,2,09/01/2024 17:34:59,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,102,9,1,Screen 1,Zone4,continue_button,1886,,,,,0,1,0,,,,,2,task_Arab,CFD_M-222-N.png
303,1704814500627,09/01/2024 15:35:00,1704814500925,2,09/01/2024 17:35:00,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,104,10,1,Screen 1,Zone3,response_slider_firstInteraction,1250.2000000000116,,,49,,0,1,0,,,,,2,task_Arab,CFD_M-224-N.png
304,1704814501599,09/01/2024 15:35:01,1704814501890,2,09/01/2024 17:35:01,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,104,10,1,Screen 1,Zone3,response_slider_endValue,2204.199999988079,,,40,,0,1,0,,,,,2,task_Arab,CFD_M-224-N.png
305,1704814501706,09/01/2024 15:35:01,1704814501891,2,09/01/2024 17:35:01,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,104,10,1,Screen 1,Zone4,continue_button,2204.199999988079,,,,,0,1,0,,,,,2,task_Arab,CFD_M-224-N.png
306,1704814502353,09/01/2024 15:35:02,1704814502645,2,09/01/2024 17:35:02,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,151,11,1,Screen 1,Zone3,response_slider_firstInteraction,749.8999999999651,,,49,,0,1,0,,,,,2,task_Arab,IFD_M-097-N.png
307,1704814503678,09/01/2024 15:35:03,1704814503969,2,09/01/2024 17:35:03,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,151,11,1,Screen 1,Zone3,response_slider_endValue,2072.599999964237,,,58,,0,1,0,,,,,2,task_Arab,IFD_M-097-N.png
308,1704814503790,09/01/2024 15:35:03,1704814503970,2,09/01/2024 17:35:03,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,151,11,1,Screen 1,Zone4,continue_button,2072.599999964237,,,,,0,1,0,,,,,2,task_Arab,IFD_M-097-N.png
309,1704814504645,09/01/2024 15:35:04,1704814504937,2,09/01/2024 17:35:04,143127,8,task-ib3a,,34070749,,10072941,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x551,,,,Group_categorization_JewishFirst_pilot2,13,Jewish_First,accepted,Spreadsheet1,Spreadsheet1,129,12,1,Screen 1,Zone3,response_slider_firstInteraction,966.3000000000466,,,46,,0,1,0,,,,,2,task_Arab,IFD_M-020-N.png
