Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-zpox,branch-v5t4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1.71E+12,18/01/2024 9:17,1.71E+12,2,18/01/2024 11:18,143127,8,task-sfst,,34292503,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,1,Arab_First,accepted,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,
2,1.71E+12,18/01/2024 9:18,1.71E+12,2,18/01/2024 11:18,143127,8,task-sfst,,34292503,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,1,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,1,Screen 3,advancementZone,continue_button,847.8000001,,,,,0,1,0,,,,,,instructions_Jewish
3,1.71E+12,18/01/2024 9:18,1.71E+12,2,18/01/2024 11:18,143127,8,task-sfst,,34292503,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,1,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone3,response_slider_firstInteraction,782.8,,,29,,0,1,0,,,,,,instructions_Jewish
4,1.71E+12,18/01/2024 9:18,1.71E+12,2,18/01/2024 11:18,143127,8,task-sfst,,34292503,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,1,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone3,response_slider_endValue,1356.1,,,3,,0,1,0,,,,,,instructions_Jewish
5,1.71E+12,18/01/2024 9:18,1.71E+12,2,18/01/2024 11:18,143127,8,task-sfst,,34292503,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,1,Arab_First,accepted,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,Zone4,continue_button,1356.1,,,,,0,1,0,,,,,,instructions_Jewish
6,1.71E+12,18/01/2024 9:18,1.71E+12,2,18/01/2024 11:18,143127,8,task-sfst,,34292503,,10129921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x864,1707x772,,,,attentioncheck_Group_categorization_JewishFirst_pilot_2,1,Arab_First,accepted,Spreadsheet1,,,END TASK,,,,,2293,,,,,0,1,0,,,,,,
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
