Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-dg7x,branch-bgon,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: image,Manipulation: Spreadsheet
51,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,14,task,Screen 2,ywtl6p,1,continue,,2073.7,2065,2073.7,2073.7,2065,2073.7,1,2073.7,0,0,,Click To Continue,Continue Button,3,object-18,task,CFD_M-223-N.png,
52,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,14,task,Screen 2,ywtl6p,1,response,71,566.3,2065,2073.9,566.3,2065,2073.9,1,566.3,1507.6,0,,Slider,Slider,2,object-12,task,CFD_M-223-N.png,
53,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,15,task,Screen 2,ywtl6p,1,info,50,15.29999999,0,15.29999999,15.29999999,0,15.29999999,1,15.29999999,0,0,,Slider,Slider,2,object-12,task,IFD_M-032-N.png,
54,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,15,task,Screen 2,ywtl6p,1,continue,,2080.8,2065,2080.8,2080.8,2065,2080.8,1,2080.8,0,0,,Click To Continue,Continue Button,3,object-18,task,IFD_M-032-N.png,
55,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,15,task,Screen 2,ywtl6p,1,response,60,815.9,2065,2081.4,815.9,2065,2081.4,1,815.9,1265.5,0,,Slider,Slider,2,object-12,task,IFD_M-032-N.png,
56,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,16,task,Screen 2,ywtl6p,1,info,50,17,0,17,17,0,17,1,17,0,0,,Slider,Slider,2,object-12,task,CFD_M-201-N.png,
57,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,16,task,Screen 2,ywtl6p,1,continue,,2271.8,2264.6,2271.8,2271.8,2264.6,2271.8,1,2271.8,0,0,,Click To Continue,Continue Button,3,object-18,task,CFD_M-201-N.png,
58,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,16,task,Screen 2,ywtl6p,1,response,34,632.6,2264.6,2272.4,632.6,2264.6,2272.4,1,632.6,1639.8,0,,Slider,Slider,2,object-12,task,CFD_M-201-N.png,
59,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,17,task,Screen 2,ywtl6p,1,info,50,16.69999999,0,16.69999999,16.69999999,0,16.69999999,1,16.69999999,0,0,,Slider,Slider,2,object-12,task,IFD_M-087-N.png,
60,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,17,task,Screen 2,ywtl6p,1,continue,,2247.3,2231.3,2247.3,2247.3,2231.3,2247.3,1,2247.3,0,0,,Click To Continue,Continue Button,3,object-18,task,IFD_M-087-N.png,
61,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,17,task,Screen 2,ywtl6p,1,response,68,582.7,2231.3,2248.1,582.7,2231.3,2248.1,1,582.7,1665.4,0,,Slider,Slider,2,object-12,task,IFD_M-087-N.png,
62,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,18,task,Screen 2,ywtl6p,1,info,50,16.8,0,16.8,16.8,0,16.8,1,16.8,0,0,,Slider,Slider,2,object-12,task,CFD_M-214-N.png,
63,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,18,task,Screen 2,ywtl6p,1,continue,,2241.1,2231.4,2241.1,2241.1,2231.4,2241.1,1,2241.1,0,0,,Click To Continue,Continue Button,3,object-18,task,CFD_M-214-N.png,
64,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,18,task,Screen 2,ywtl6p,1,response,31,749.3,2231.4,2241.5,749.3,2231.4,2241.5,1,749.3,1492.2,0,,Slider,Slider,2,object-12,task,CFD_M-214-N.png,
65,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,19,task,Screen 2,ywtl6p,1,info,50,16.2,0,16.2,16.2,0,16.2,1,16.2,0,0,,Slider,Slider,2,object-12,task,CFD_M-213-N.png,
66,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,19,task,Screen 2,ywtl6p,1,continue,,2337.1,2331.4,2337.1,2337.1,2331.4,2337.1,1,2337.1,0,0,,Click To Continue,Continue Button,3,object-18,task,CFD_M-213-N.png,
67,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,19,task,Screen 2,ywtl6p,1,response,61,1165.7,2331.4,2337.7,1165.7,2331.4,2337.7,1,1165.7,1172,0,,Slider,Slider,2,object-12,task,CFD_M-213-N.png,
68,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,20,task,Screen 2,ywtl6p,1,info,50,14.7,0,14.7,14.7,0,14.7,1,14.7,0,0,,Slider,Slider,2,object-12,task,CFD_M-252-N.png,
69,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,20,task,Screen 2,ywtl6p,1,continue,,2160.8,2148,2160.8,2160.8,2148,2160.8,1,2160.8,0,0,,Click To Continue,Continue Button,3,object-18,task,CFD_M-252-N.png,
70,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,20,task,Screen 2,ywtl6p,1,response,46,1149,2148,2161.3,1149,2148,2161.3,1,1149,1012.3,0,,Slider,Slider,2,object-12,task,CFD_M-252-N.png,
71,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,21,task,Screen 2,ywtl6p,1,info,50,16.4,0,16.4,16.4,0,16.4,1,16.4,0,0,,Slider,Slider,2,object-12,task,CFD_M-200-N.png,
72,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,21,task,Screen 2,ywtl6p,1,continue,,2137.3,2131.6,2137.3,2137.3,2131.6,2137.3,1,2137.3,0,0,,Click To Continue,Continue Button,3,object-18,task,CFD_M-200-N.png,
73,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,21,task,Screen 2,ywtl6p,1,response,19,682.8,2131.6,2137.7,682.8,2131.6,2137.7,1,682.8,1454.9,0,,Slider,Slider,2,object-12,task,CFD_M-200-N.png,
74,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,22,task,Screen 2,ywtl6p,1,info,50,12.7,0,12.7,12.7,0,12.7,1,12.7,0,0,,Slider,Slider,2,object-12,task,CFD_M-242-N.png,
75,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,22,task,Screen 2,ywtl6p,1,continue,,2157.1,2148.2,2157.1,2157.1,2148.2,2157.1,1,2157.1,0,0,,Click To Continue,Continue Button,3,object-18,task,CFD_M-242-N.png,
76,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,22,task,Screen 2,ywtl6p,1,response,54,849.2,2148.2,2163.6,849.2,2148.2,2163.6,1,849.2,1314.4,0,,Slider,Slider,2,object-12,task,CFD_M-242-N.png,
77,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,23,task,Screen 2,ywtl6p,1,info,50,16.8,0,16.8,16.8,0,16.8,1,16.8,0,0,,Slider,Slider,2,object-12,task,IFD_M-100-N.png,
78,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,23,task,Screen 2,ywtl6p,1,continue,,2713.1,2697.6,2713.1,2713.1,2697.6,2713.1,1,2713.1,0,0,,Click To Continue,Continue Button,3,object-18,task,IFD_M-100-N.png,
79,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,23,task,Screen 2,ywtl6p,1,response,49,1315.4,2697.6,2713.4,1315.4,2697.6,2713.4,1,1315.4,1398,0,,Slider,Slider,2,object-12,task,IFD_M-100-N.png,
80,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,24,task,Screen 2,ywtl6p,1,info,50,16.8,0,16.8,16.8,0,16.8,1,16.8,0,0,,Slider,Slider,2,object-12,task,CFD_M-250-N.png,
81,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,24,task,Screen 2,ywtl6p,1,continue,,2255.5,2248,2255.5,2255.5,2248,2255.5,1,2255.5,0,0,,Click To Continue,Continue Button,3,object-18,task,CFD_M-250-N.png,
82,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,24,task,Screen 2,ywtl6p,1,response,32,649.3,2248,2255.8,649.3,2248,2255.8,1,649.3,1606.5,0,,Slider,Slider,2,object-12,task,CFD_M-250-N.png,
83,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,25,task,Screen 2,ywtl6p,1,info,50,12.99999999,0,12.99999999,12.99999999,0,12.99999999,1,12.99999999,0,0,,Slider,Slider,2,object-12,task,CFD_M-243-N.png,
84,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,25,task,Screen 2,ywtl6p,1,continue,,2127.8,2114.8,2127.8,2127.8,2114.8,2127.8,1,2127.8,0,0,,Click To Continue,Continue Button,3,object-18,task,CFD_M-243-N.png,
85,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,25,task,Screen 2,ywtl6p,1,response,71,765.9,2114.8,2128.4,765.9,2114.8,2128.4,1,765.9,1362.5,0,,Slider,Slider,2,object-12,task,CFD_M-243-N.png,
86,1.71E+12,11/04/2024 9:45,1.71E+12,3,11/04/2024 15:45,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,26,task,Screen 2,ywtl6p,1,info,50,16.9,0,16.9,16.9,0,16.9,1,16.9,0,0,,Slider,Slider,2,object-12,task,CFD_M-220-N.png,
87,1.71E+12,11/04/2024 9:46,1.71E+12,3,11/04/2024 15:46,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,26,task,Screen 2,ywtl6p,1,continue,,2092.2,2081.4,2092.2,2092.2,2081.4,2092.2,1,2092.2,0,0,,Click To Continue,Continue Button,3,object-18,task,CFD_M-220-N.png,
88,1.71E+12,11/04/2024 9:46,1.71E+12,3,11/04/2024 15:46,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,26,task,Screen 2,ywtl6p,1,response,46,732.6,2081.4,2092.6,732.6,2081.4,2092.6,1,732.6,1360,0,,Slider,Slider,2,object-12,task,CFD_M-220-N.png,
89,1.71E+12,11/04/2024 9:46,1.71E+12,3,11/04/2024 15:46,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,27,task,Screen 2,ywtl6p,1,info,50,16.6,0,16.6,16.6,0,16.6,1,16.6,0,0,,Slider,Slider,2,object-12,task,CFD_M-236-N.png,
90,1.71E+12,11/04/2024 9:46,1.71E+12,3,11/04/2024 15:46,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,27,task,Screen 2,ywtl6p,1,continue,,2171,2164.8,2171,2171,2164.8,2171,1,2171,0,0,,Click To Continue,Continue Button,3,object-18,task,CFD_M-236-N.png,
91,1.71E+12,11/04/2024 9:46,1.71E+12,3,11/04/2024 15:46,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,27,task,Screen 2,ywtl6p,1,response,28,649.6,2164.8,2176.2,649.6,2164.8,2176.2,1,649.6,1526.6,0,,Slider,Slider,2,object-12,task,CFD_M-236-N.png,
92,1.71E+12,11/04/2024 9:46,1.71E+12,3,11/04/2024 15:46,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,28,task,Screen 2,ywtl6p,1,info,50,16.6,0,16.6,16.6,0,16.6,1,16.6,0,0,,Slider,Slider,2,object-12,task,IFD_M-108-N.png,
93,1.71E+12,11/04/2024 9:46,1.71E+12,3,11/04/2024 15:46,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,28,task,Screen 2,ywtl6p,1,continue,,2120.4,2114.8,2120.4,2120.4,2114.8,2120.4,1,2120.4,0,0,,Click To Continue,Continue Button,3,object-18,task,IFD_M-108-N.png,
94,1.71E+12,11/04/2024 9:46,1.71E+12,3,11/04/2024 15:46,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,28,task,Screen 2,ywtl6p,1,response,75,549.6,2114.8,2120.8,549.6,2114.8,2120.8,1,549.6,1571.2,0,,Slider,Slider,2,object-12,task,IFD_M-108-N.png,
95,1.71E+12,11/04/2024 9:46,1.71E+12,3,11/04/2024 15:46,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,29,task,Screen 2,ywtl6p,1,info,50,11.6,0,11.6,11.6,0,11.6,1,11.6,0,0,,Slider,Slider,2,object-12,task,IFD_M-044-N.png,
96,1.71E+12,11/04/2024 9:46,1.71E+12,3,11/04/2024 15:46,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,29,task,Screen 2,ywtl6p,1,continue,,2085.2,2081.5,2085.2,2085.2,2081.5,2085.2,1,2085.2,0,0,,Click To Continue,Continue Button,3,object-18,task,IFD_M-044-N.png,
97,1.71E+12,11/04/2024 9:46,1.71E+12,3,11/04/2024 15:46,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,29,task,Screen 2,ywtl6p,1,response,56,533,2081.5,2085.5,533,2081.5,2085.5,1,533,1552.5,0,,Slider,Slider,2,object-12,task,IFD_M-044-N.png,
98,1.71E+12,11/04/2024 9:46,1.71E+12,3,11/04/2024 15:46,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,30,task,Screen 2,ywtl6p,1,info,50,9.599999997,0,9.599999997,9.599999997,0,9.599999997,1,9.599999997,0,0,,Slider,Slider,2,object-12,task,CFD_M-234-N.png,
99,1.71E+12,11/04/2024 9:46,1.71E+12,3,11/04/2024 15:46,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,30,task,Screen 2,ywtl6p,1,continue,,2277.9,2264.7,2277.9,2277.9,2264.7,2277.9,1,2277.9,0,0,,Click To Continue,Continue Button,3,object-18,task,CFD_M-234-N.png,
100,1.71E+12,11/04/2024 9:46,1.71E+12,3,11/04/2024 15:46,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,30,task,Screen 2,ywtl6p,1,response,42,699.6,2264.7,2278.3,699.6,2264.7,2278.3,1,699.6,1578.7,0,,Slider,Slider,2,object-12,task,CFD_M-234-N.png,
101,1.71E+12,11/04/2024 9:46,1.71E+12,3,11/04/2024 15:46,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,31,task,Screen 2,ywtl6p,1,info,50,16.5,0,16.5,16.5,0,16.5,1,16.5,0,0,,Slider,Slider,2,object-12,task,IFD_M-069-N.png,
102,1.71E+12,11/04/2024 9:46,1.71E+12,3,11/04/2024 15:46,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,31,task,Screen 2,ywtl6p,1,continue,,2154.5,2148.2,2154.5,2154.5,2148.2,2154.5,1,2154.5,0,0,,Click To Continue,Continue Button,3,object-18,task,IFD_M-069-N.png,
103,1.71E+12,11/04/2024 9:46,1.71E+12,3,11/04/2024 15:46,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,31,task,Screen 2,ywtl6p,1,response,69,932.7,2148.2,2155,932.7,2148.2,2155,1,932.7,1222.3,0,,Slider,Slider,2,object-12,task,IFD_M-069-N.png,
104,1.71E+12,11/04/2024 9:46,1.71E+12,3,11/04/2024 15:46,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,32,task,Screen 2,ywtl6p,1,info,50,12.2,0,12.2,12.2,0,12.2,1,12.2,0,0,,Slider,Slider,2,object-12,task,IFD_M-097-N.png,
105,1.71E+12,11/04/2024 9:46,1.71E+12,3,11/04/2024 15:46,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,32,task,Screen 2,ywtl6p,1,continue,,2253.1,2248.1,2253.1,2253.1,2248.1,2253.1,1,2253.1,0,0,,Click To Continue,Continue Button,3,object-18,task,IFD_M-097-N.png,
106,1.71E+12,11/04/2024 9:46,1.71E+12,3,11/04/2024 15:46,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,32,task,Screen 2,ywtl6p,1,response,28,749.5,2248.1,2259.8,749.5,2248.1,2259.8,1,749.5,1510.3,0,,Slider,Slider,2,object-12,task,IFD_M-097-N.png,
107,1.71E+12,11/04/2024 9:46,1.71E+12,3,11/04/2024 15:46,142922,11,task-drsy,,36921825,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,2304x1042,,,0,perceived_threat_ex2,4,ACpass,accepted,spreadsheet1,33,task,Screen 2,ywtl6p,1,info,50,16.7,0,16.7,16.7,0,16.7,1,16.7,0,0,,Slider,Slider,2,object-12,task,CFD_M-210-N.png,
