Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-dg7x,branch-bgon,Thermometer object-4 Value,jews object-10 Value,arabs object-11 Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p style=""text-align: center"">מהי עמדתך כלפי ערבים?<span style=""color: #FFFFFF"">ת</span></p>",jews object-10 Value,arabs object-11 Value
1,1.71344E+12,18/04/2024 12:23,1.71345E+12,3,18/04/2024 18:23,142922,13,questionnaire-qwx3,,37118357,,11022729,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,2880x1366,,,0,thermometer_ex2,2,ACpass,accepted,33,68,35
1,1.71344E+12,18/04/2024 12:23,1.71345E+12,3,18/04/2024 18:23,142922,13,questionnaire-qwx3,,37118357,,14,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1920x1080,2880x1366,,,0,thermometer_ex2,2,ACpass,accepted,17,70,20
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
