"","sID","nFingers","trial","block","acc","rt","group","prev_acc","mean_rt","sd_rt","vib_strength"
"75",1,4,368,2,1,1050,"0",1,1167.375,232.9035651341,1
"76",1,3,373,2,1,1062,"0",1,1123.36,130.684059216621,1
"77",1,2,374,2,1,1517,"0",1,1206.5625,202.733640934766,1
"78",1,3,375,2,1,1213,"0",1,1123.36,130.684059216621,1
"79",1,3,376,2,1,1180,"0",1,1123.36,130.684059216621,1
"80",1,3,377,2,1,1257,"0",1,1123.36,130.684059216621,1
"81",1,3,378,2,1,1160,"0",1,1123.36,130.684059216621,0.3
"82",1,2,382,2,1,993,"0",1,1206.5625,202.733640934766,0.3
"83",1,2,383,2,1,1172,"0",1,1206.5625,202.733640934766,1
"84",1,4,386,2,1,1536,"0",1,1167.375,232.9035651341,0.3
"85",1,2,390,2,1,1015,"0",1,1206.5625,202.733640934766,0.3
"86",1,1,391,2,1,1222,"0",1,1206.17647058824,124.992117398517,1
"87",1,3,392,2,1,1029,"0",1,1123.36,130.684059216621,0.3
"88",1,5,393,2,1,916,"0",1,1061.42857142857,112.46928762707,1
"89",1,3,394,2,1,907,"0",1,1123.36,130.684059216621,0.3
"90",1,2,395,2,1,1301,"0",1,1206.5625,202.733640934766,0.3
"91",1,4,396,2,1,1086,"0",1,1167.375,232.9035651341,1
"92",1,4,397,2,1,1337,"0",1,1167.375,232.9035651341,1
"93",2,5,200,2,1,1413,"0",1,1553.66111111111,338.530046458668,0.3
"94",2,3,201,2,1,1987,"0",1,1688.56983240223,365.546472286483,1
"95",2,4,202,2,1,1546,"0",1,1636.67397260274,342.429298881976,1
"96",2,1,203,2,1,1085,"0",1,1180.02266288952,212.260371699536,1
"97",2,1,204,2,1,1046,"0",1,1180.02266288952,212.260371699536,1
"98",2,5,205,2,1,1945,"0",1,1553.66111111111,338.530046458668,1
"99",2,3,206,2,1,1687,"0",1,1688.56983240223,365.546472286483,0.3
"100",2,5,207,2,1,1259,"0",1,1553.66111111111,338.530046458668,0.3
"101",2,1,208,2,1,1297,"0",1,1180.02266288952,212.260371699536,1
"102",2,3,209,2,1,2163,"0",1,1688.56983240223,365.546472286483,1
"103",2,4,210,2,1,1286,"0",1,1636.67397260274,342.429298881976,1
"104",2,2,211,2,1,1127,"0",1,1474.01714285714,340.947247375963,1
"105",2,1,212,2,1,1076,"0",1,1180.02266288952,212.260371699536,0.3
"106",2,4,213,2,1,1640,"0",1,1636.67397260274,342.429298881976,1
"107",2,2,215,2,1,1527,"0",1,1474.01714285714,340.947247375963,1
"108",2,2,216,2,1,1483,"0",1,1474.01714285714,340.947247375963,0.3
"109",2,1,217,2,1,1147,"0",1,1180.02266288952,212.260371699536,0.3
"110",2,3,218,2,1,1877,"0",1,1688.56983240223,365.546472286483,1
"111",2,2,219,2,1,1079,"0",1,1474.01714285714,340.947247375963,0.3
"112",2,1,220,2,1,1111,"0",1,1180.02266288952,212.260371699536,1
"113",2,5,221,2,1,1623,"0",1,1553.66111111111,338.530046458668,1
"114",2,1,222,2,1,1146,"0",1,1180.02266288952,212.260371699536,0.3
"115",2,4,225,2,1,1620,"0",1,1636.67397260274,342.429298881976,0.3
"116",2,4,226,2,1,1457,"0",1,1636.67397260274,342.429298881976,0.3
"117",2,2,227,2,1,1184,"0",1,1474.01714285714,340.947247375963,1
"118",2,5,229,2,1,1539,"0",1,1553.66111111111,338.530046458668,1
"119",2,3,230,2,1,2192,"0",1,1688.56983240223,365.546472286483,0.3
"120",2,4,231,2,1,963,"0",1,1636.67397260274,342.429298881976,1
"121",2,3,233,2,1,1378,"0",1,1688.56983240223,365.546472286483,1
"122",2,5,234,2,1,1236,"0",1,1553.66111111111,338.530046458668,0.3
"123",2,1,235,2,1,1092,"0",1,1180.02266288952,212.260371699536,1
"124",2,3,236,2,1,2054,"0",1,1688.56983240223,365.546472286483,0.3
"125",2,4,237,2,1,1864,"0",1,1636.67397260274,342.429298881976,1
"126",2,4,238,2,1,2164,"0",1,1636.67397260274,342.429298881976,0.3
"127",2,5,239,2,1,1257,"0",1,1553.66111111111,338.530046458668,0.3
"128",2,5,240,2,1,1362,"0",1,1553.66111111111,338.530046458668,1
"129",2,2,241,2,1,1801,"0",1,1474.01714285714,340.947247375963,1
"130",2,4,242,2,1,1335,"0",1,1636.67397260274,342.429298881976,0.3
"131",2,1,243,2,1,1092,"0",1,1180.02266288952,212.260371699536,1
"132",2,4,244,2,1,1475,"0",1,1636.67397260274,342.429298881976,1
"133",2,5,245,2,1,1457,"0",1,1553.66111111111,338.530046458668,1
"134",2,4,246,2,1,1346,"0",1,1636.67397260274,342.429298881976,1
"135",2,2,247,2,1,1121,"0",1,1474.01714285714,340.947247375963,0.3
"136",2,2,248,2,1,2049,"0",1,1474.01714285714,340.947247375963,1
"137",2,4,249,2,1,1546,"0",1,1636.67397260274,342.429298881976,0.3
"138",2,1,251,2,1,1200,"0",1,1180.02266288952,212.260371699536,0.3
"139",2,1,252,2,1,1065,"0",1,1180.02266288952,212.260371699536,0.3
"140",2,1,253,2,1,1206,"0",1,1180.02266288952,212.260371699536,0.3
"141",2,2,254,2,1,1234,"0",1,1474.01714285714,340.947247375963,0.3
"142",2,2,255,2,1,1283,"0",1,1474.01714285714,340.947247375963,0.3
"143",2,1,256,2,1,1182,"0",1,1180.02266288952,212.260371699536,1
"144",2,5,257,2,1,2025,"0",1,1553.66111111111,338.530046458668,0.3
"145",2,3,258,2,1,1157,"0",1,1688.56983240223,365.546472286483,1
"146",2,4,259,2,1,1306,"0",1,1636.67397260274,342.429298881976,0.3
"147",2,1,261,2,1,1115,"0",1,1180.02266288952,212.260371699536,0.3
"148",2,4,263,2,1,1272,"0",1,1636.67397260274,342.429298881976,0.3
"149",2,4,264,2,1,1237,"0",1,1636.67397260274,342.429298881976,0.3
"150",2,3,265,2,1,1725,"0",1,1688.56983240223,365.546472286483,0.3
"151",2,3,266,2,1,1189,"0",1,1688.56983240223,365.546472286483,0.3
"152",2,3,268,2,1,2227,"0",1,1688.56983240223,365.546472286483,1
"153",2,4,270,2,1,2021,"0",1,1636.67397260274,342.429298881976,1
"154",2,1,271,2,1,1374,"0",1,1180.02266288952,212.260371699536,1
"155",2,5,272,2,1,1663,"0",1,1553.66111111111,338.530046458668,0.3
"156",2,1,273,2,1,1111,"0",1,1180.02266288952,212.260371699536,1
"157",2,1,274,2,1,1108,"0",1,1180.02266288952,212.260371699536,1
"158",2,4,275,2,1,1329,"0",1,1636.67397260274,342.429298881976,0.3
"159",2,3,276,2,1,1241,"0",1,1688.56983240223,365.546472286483,1
"160",2,4,277,2,1,1695,"0",1,1636.67397260274,342.429298881976,1
"161",2,5,278,2,1,1236,"0",1,1553.66111111111,338.530046458668,0.3
"162",2,1,279,2,1,1016,"0",1,1180.02266288952,212.260371699536,0.3
"163",2,3,280,2,1,1868,"0",1,1688.56983240223,365.546472286483,1
"164",2,4,281,2,1,1640,"0",1,1636.67397260274,342.429298881976,0.3
"165",2,2,282,2,1,1162,"0",1,1474.01714285714,340.947247375963,0.3
"166",2,2,283,2,1,1227,"0",1,1474.01714285714,340.947247375963,1
"167",2,3,284,2,1,1800,"0",1,1688.56983240223,365.546472286483,1
"168",2,2,285,2,1,1266,"0",1,1474.01714285714,340.947247375963,1
"169",2,3,286,2,1,1274,"0",1,1688.56983240223,365.546472286483,1
"170",2,2,287,2,1,1746,"0",1,1474.01714285714,340.947247375963,0.3
"171",2,5,288,2,1,2103,"0",1,1553.66111111111,338.530046458668,0.3
"172",2,5,289,2,1,1840,"0",1,1553.66111111111,338.530046458668,1
"173",2,3,290,2,1,1342,"0",1,1688.56983240223,365.546472286483,1
"174",2,3,291,2,1,1290,"0",1,1688.56983240223,365.546472286483,0.3
"175",2,3,292,2,1,2054,"0",1,1688.56983240223,365.546472286483,0.3
"176",2,5,293,2,1,1473,"0",1,1553.66111111111,338.530046458668,1
"177",2,4,294,2,1,1167,"0",1,1636.67397260274,342.429298881976,1
"178",2,1,295,2,1,1065,"0",1,1180.02266288952,212.260371699536,0.3
"179",2,4,296,2,1,1974,"0",1,1636.67397260274,342.429298881976,1
"180",2,2,297,2,1,1384,"0",1,1474.01714285714,340.947247375963,1
"181",2,4,298,2,1,1475,"0",1,1636.67397260274,342.429298881976,0.3
"182",2,2,299,2,1,1439,"0",1,1474.01714285714,340.947247375963,0.3
"183",2,5,300,2,1,1626,"0",1,1553.66111111111,338.530046458668,1
"184",2,1,301,2,1,1164,"0",1,1180.02266288952,212.260371699536,1
"185",2,4,303,2,1,1984,"0",1,1636.67397260274,342.429298881976,0.3
"186",2,3,304,2,1,1290,"0",1,1688.56983240223,365.546472286483,1
"187",2,2,305,2,1,1483,"0",1,1474.01714285714,340.947247375963,0.3
"188",2,4,306,2,1,1984,"0",1,1636.67397260274,342.429298881976,1
"189",2,2,307,2,1,1408,"0",1,1474.01714285714,340.947247375963,0.3
"190",2,3,308,2,1,2054,"0",1,1688.56983240223,365.546472286483,0.3
"191",2,5,309,2,1,1616,"0",1,1553.66111111111,338.530046458668,0.3
"192",2,4,310,2,1,1802,"0",1,1636.67397260274,342.429298881976,0.3
"193",2,5,312,2,1,1362,"0",1,1553.66111111111,338.530046458668,0.3
"194",2,5,313,2,1,1587,"0",1,1553.66111111111,338.530046458668,0.3
"195",2,1,314,2,1,1527,"0",1,1180.02266288952,212.260371699536,0.3
"196",2,5,315,2,1,1722,"0",1,1553.66111111111,338.530046458668,1
"197",2,2,316,2,1,1184,"0",1,1474.01714285714,340.947247375963,1
"198",2,3,317,2,1,2163,"0",1,1688.56983240223,365.546472286483,0.3
"199",2,4,320,2,1,1344,"0",1,1636.67397260274,342.429298881976,1
"200",2,5,321,2,1,1199,"0",1,1553.66111111111,338.530046458668,1
"201",2,3,322,2,1,1726,"0",1,1688.56983240223,365.546472286483,0.3
"202",2,5,323,2,1,1285,"0",1,1553.66111111111,338.530046458668,0.3
"203",2,1,324,2,1,1165,"0",1,1180.02266288952,212.260371699536,0.3
"204",2,3,325,2,1,1457,"0",1,1688.56983240223,365.546472286483,1
"205",2,4,326,2,1,1864,"0",1,1636.67397260274,342.429298881976,1
"206",2,2,327,2,1,1224,"0",1,1474.01714285714,340.947247375963,1
"207",2,2,328,2,1,1180,"0",1,1474.01714285714,340.947247375963,1
"208",2,5,330,2,1,1428,"0",1,1553.66111111111,338.530046458668,0.3
